City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,el aioun,34.5832,-2.5061,24.56,16,100,14.28,MA,1712455992
123,jamestown,42.097,-79.2353,4.8,75,0,3.09,US,1712455992
124,cajamarca,-7.1638,-78.5003,13.51,95,100,1.5,PE,1712455550
125,arraial do cabo,-22.9661,-42.0278,23.74,84,4,2.98,BR,1712455701
126,howard springs,-12.497,131.047,31.57,71,58,3.6,AU,1712455992
127,happy valley-goose bay,53.3168,-60.3315,-1.59,92,18,1.85,CA,1712455842
128,bilibino,68.0546,166.4372,-12.3,85,87,1.43,RU,1712455993
129,navlya,52.8281,34.4989,8.46,88,100,1.1,RU,1712455993
130,muscat,23.6139,58.5922,25.01,70,0,0.77,OM,1712455910
131,baia sprie,47.6619,23.6922,7.9,93,47,1.54,RO,1712455993
132,jayapura,-2.5333,140.7,30.66,83,46,3.23,ID,1712455993
133,argo,37.6333,22.7333,16.38,59,51,1.92,GR,1712455993
134,st. john's,47.5649,-52.7093,1.75,94,98,3.58,CA,1712455873
135,klaksvik,62.2266,-6.589,8.51,86,100,12.21,FO,1712455993
136,fomboni,-12.28,43.7425,28.81,76,100,4.55,KM,1712455993
137,port lincoln,-34.7333,135.8667,16.17,61,100,2.65,AU,1712455993
138,kismayo,-0.3582,42.5454,28.87,75,100,3.53,SO,1712455993
139,margate,51.3813,1.3862,12.72,81,98,4.92,GB,1712455934
140,hadibu,12.65,54.0333,26.27,73,100,1.94,YE,1712455906
141,hotan,37.0997,79.9269,14.08,28,100,5.51,CN,1712455993
142,mwinilunga,-11.7358,24.4293,17.59,98,98,1.28,ZM,1712455993
143,nacozari de garcia,30.3742,-109.6908,12.6,24,0,1.81,MX,1712455993
144,la sarre,48.8002,-79.1996,0.19,90,100,3.26,CA,1712455993
145,la passe,45.5549,-0.8967,15.13,76,100,0.88,FR,1712455994
146,minzhu,43.7286,127.3447,11.22,28,52,2.64,CN,1712455994
147,zhuanghe,39.7008,122.9911,12.57,59,1,5.78,CN,1712455994
148,reggane,26.7158,0.1714,27.69,10,3,3.49,DZ,1712455994
149,isafjordur,66.0755,-23.124,-4.7,81,100,14.99,IS,1712455994
150,constantia,44.1833,28.65,10.39,95,72,3.11,RO,1712455994
151,kedougou,12.5579,-12.1743,32.74,25,89,2.58,SN,1712455994
152,san luis de la loma,17.2706,-100.8939,25.03,73,9,3.46,MX,1712455994
153,eastham,41.8301,-69.9739,4.41,92,100,10.73,US,1712455876
154,ebon,4.582,168.6964,28.32,82,29,9.55,MH,1712455994
155,port elizabeth,-33.918,25.5701,17.83,90,100,1.34,ZA,1712455994
156,anadyr,64.75,177.4833,-16.72,77,20,5.0,RU,1712455994
157,puerto ayora,-0.7393,-90.3518,25.31,97,95,0.89,EC,1712455994
158,hermanus,-34.4187,19.2345,17.11,78,87,12.9,ZA,1712455994
159,barranca,-10.75,-77.7667,22.02,85,91,3.68,PE,1712455994
160,queenstown,-31.8976,26.8753,11.71,92,100,7.22,ZA,1712455994
161,thoothukudi,8.8054,78.1453,28.16,78,20,2.06,IN,1712455994
162,choibalsan,48.0667,114.5,5.09,57,87,5.54,MN,1712455995
163,podporozh'ye,60.9112,34.1706,-6.76,97,77,1.21,RU,1712455995
164,port mathurin,-19.6833,63.4167,26.71,83,42,7.61,MU,1712455995
165,cannonvale,-20.2833,148.7,25.66,76,38,3.33,AU,1712455995
166,neiafu,-18.65,-173.9833,27.1,76,24,6.95,TO,1712455995
167,guiren,33.6697,118.1889,16.53,69,84,3.27,CN,1712455995
168,pontianak,-0.0333,109.3333,28.99,83,20,1.54,ID,1712455875
169,omaruru,-21.4333,15.9333,19.25,45,16,1.57,NA,1712455995
170,amqui,48.4638,-67.4313,-1.49,95,99,1.14,CA,1712455995
171,gao,16.6362,1.637,28.58,9,95,1.3,ML,1712455995
172,mzuzu,-11.4656,34.0207,17.3,96,100,0.72,MW,1712455995
173,lihue,21.9789,-159.3672,26.58,75,100,10.29,US,1712455787
174,pierre,44.3683,-100.351,10.48,80,100,11.32,US,1712455773
175,susuman,62.7833,148.1667,-11.68,72,41,0.89,RU,1712455995
176,khanabad,36.6825,69.1156,15.18,57,0,0.47,AF,1712455995
177,polonnaruwa,7.9333,81.0,26.86,81,90,0.93,LK,1712455996
178,pisco,-13.7,-76.2167,22.03,83,0,6.17,PE,1712455996
179,mana,5.6592,-53.7767,26.27,81,80,4.05,GF,1712455996
180,poronaysk,49.2167,143.1167,4.85,84,100,7.72,RU,1712455996
181,puerto baquerizo moreno,-0.9,-89.6,24.7,86,37,2.64,EC,1712455934
182,rio san juan,19.6439,-70.0763,23.98,87,29,1.7,DO,1712455996
183,kilju,40.9642,129.3278,20.84,28,8,3.44,KP,1712455758
184,belyy yar,53.6039,91.3903,6.94,65,0,1.0,RU,1712455996
185,severo-yeniseyskiy,60.3725,93.0408,-6.35,97,100,4.02,RU,1712455996
186,petropavlovka,50.6114,105.3196,8.66,60,0,0.47,RU,1712455937
187,lensk,60.7253,114.9278,-11.68,69,6,2.47,RU,1712455996
188,hlukhiv,51.6782,33.9162,10.39,98,100,2.1,UA,1712455996
189,grenaa,56.4158,10.8783,12.12,92,100,5.33,DK,1712455996
190,klyuchi,52.2667,79.1667,9.42,74,100,5.14,RU,1712455996
191,semera,11.501,41.201,25.2,58,12,4.0,ET,1712455996
192,longyearbyen,78.2186,15.6401,-24.09,77,20,4.63,SJ,1712455741
193,fort bragg,35.139,-79.006,12.68,60,0,2.06,US,1712455997
194,mugia,43.1041,-9.2179,12.17,86,3,5.66,ES,1712455997
195,waiuku,-37.25,174.75,20.39,72,97,1.3,NZ,1712455997
196,arar,30.9753,41.0381,19.01,26,0,7.72,SA,1712455997
197,malakal,9.5334,31.6605,27.54,62,99,2.53,SS,1712455997
198,talnakh,69.4865,88.3972,-16.11,92,100,3.81,RU,1712455997
199,blackwater,-23.5833,148.8833,28.41,61,11,3.37,AU,1712455997
200,anahuac,27.2333,-100.15,28.88,27,100,4.96,MX,1712455997
201,tateyama,34.9833,139.8667,16.34,90,100,1.79,JP,1712455997
202,nizhniy kuranakh,58.8353,125.4869,-13.28,90,100,3.5,RU,1712455937
203,hammerfest,70.6634,23.6821,-2.75,93,75,5.14,NO,1712455997
204,emerald,-23.5333,148.1667,27.97,65,91,5.65,AU,1712455997
205,tvoroyri,61.5556,-6.8111,8.75,83,100,14.66,FO,1712455998
206,cascais,38.6979,-9.4215,16.39,96,78,4.47,PT,1712455998
207,la rinconada,37.4873,-5.9826,19.98,76,0,2.57,ES,1712455776
208,aripuana,-9.1667,-60.6333,23.62,99,95,1.33,BR,1712455998
